raw	safe
C5AR1_PDC Cytoplasm	C5AR1_PDC_Cytoplasm
C5AR1_PDC Cytoplasm_1	C5AR1_PDC_Cytoplasm_1
C5a	C5a
C5a/C5AR1_complex_M1 Cytoplasm	C5a_C5AR1_complex_M1_Cytoplasm
C5a/C5AR1_complex_M2 Cytoplasm	C5a_C5AR1_complex_M2_Cytoplasm
CALM1_BCELL Cytoplasm	CALM1_BCELL_Cytoplasm
CALM1_BCELL Cytoplasm_1	CALM1_BCELL_Cytoplasm_1
CALM1_M1 Cytoplasm	CALM1_M1_Cytoplasm
CALM1_M2 Cytoplasm	CALM1_M2_Cytoplasm
CALM1_PDC Cytoplasm	CALM1_PDC_Cytoplasm
CALM1_PLASMA Cytoplasm	CALM1_PLASMA_Cytoplasm
CALM1_PLASMA Cytoplasm_1	CALM1_PLASMA_Cytoplasm_1
CALM1_SGEC Cytoplasm	CALM1_SGEC_Cytoplasm
CALM1_TFH Cytoplasm	CALM1_TFH_Cytoplasm
CALM1_TH1 Cytoplasm	CALM1_TH1_Cytoplasm
CALM1_TH17 Cytoplasm	CALM1_TH17_Cytoplasm
CALM1_TREG Cytoplasm	CALM1_TREG_Cytoplasm
CAMKMT_BCELL Cytoplasm	CAMKMT_BCELL_Cytoplasm
CAMKMT_PLASMA Cytoplasm	CAMKMT_PLASMA_Cytoplasm
CARD11/BCL10/MALT1_complex_BCELL Cytoplasm	CARD11_BCL10_MALT1_complex_BCELL_Cytoplasm
CARD11/BCL10/MALT1_complex_PLASMA Cytoplasm	CARD11_BCL10_MALT1_complex_PLASMA_Cytoplasm
CARD11/BCL10/MALT1_complex_TFH Cytoplasm	CARD11_BCL10_MALT1_complex_TFH_Cytoplasm
CARD11/BCL10/MALT1_complex_TH1 Cytoplasm	CARD11_BCL10_MALT1_complex_TH1_Cytoplasm
CARD11/BCL10/MALT1_complex_TH17 Cytoplasm	CARD11_BCL10_MALT1_complex_TH17_Cytoplasm
CARD11/BCL10/MALT1_complex_TREG Cytoplasm	CARD11_BCL10_MALT1_complex_TREG_Cytoplasm
CARD11_BCELL Cytoplasm	CARD11_BCELL_Cytoplasm
CARD11_BCELL Cytoplasm_1	CARD11_BCELL_Cytoplasm_1
CARD11_PLASMA Cytoplasm	CARD11_PLASMA_Cytoplasm
CARD11_PLASMA Cytoplasm_1	CARD11_PLASMA_Cytoplasm_1
CARD11_TFH Cytoplasm	CARD11_TFH_Cytoplasm
CARD11_TFH Cytoplasm_1	CARD11_TFH_Cytoplasm_1
CARD11_TH1 Cytoplasm	CARD11_TH1_Cytoplasm
CARD11_TH1 Cytoplasm_1	CARD11_TH1_Cytoplasm_1
CARD11_TH17 Cytoplasm	CARD11_TH17_Cytoplasm
CARD11_TH17 Cytoplasm_1	CARD11_TH17_Cytoplasm_1
CARD11_TREG Cytoplasm	CARD11_TREG_Cytoplasm
CARD11_TREG Cytoplasm_1	CARD11_TREG_Cytoplasm_1
CASP3_BCELL Cytoplasm	CASP3_BCELL_Cytoplasm
CASP3_M1 Cytoplasm	CASP3_M1_Cytoplasm
CASP3_M2 Cytoplasm	CASP3_M2_Cytoplasm
CASP3_PDC Cytoplasm	CASP3_PDC_Cytoplasm
CASP3_PLASMA Cytoplasm	CASP3_PLASMA_Cytoplasm
CASP3_SGEC Cytoplasm	CASP3_SGEC_Cytoplasm
CASP3_TFH Cytoplasm	CASP3_TFH_Cytoplasm
CASP3_TH1 Cytoplasm	CASP3_TH1_Cytoplasm
CASP3_TH17 Cytoplasm	CASP3_TH17_Cytoplasm
CASP3_TREG Cytoplasm	CASP3_TREG_Cytoplasm
CASP7_BCELL Cytoplasm	CASP7_BCELL_Cytoplasm
