Species_ID,Relation1,Identifier1,Constant,InitialLevel,Comments
TRAF3_BCELL Cytoplasm_1,isDescribedBy,,False,,sa_BCELL_s20929 BCELL_s20929
HLA-A_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20931 BCELL_s20931
GRB2_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20932 BCELL_s20932
MAP2K3_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20937 BCELL_s20937
TLR7/ssRNA_complex_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20943 BCELL_s20943
BAFF-APRIL/TACI_complex,isDescribedBy,,False,,sa_BCELL_s20946 BCELL_s20946
TNFRSF13B_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20947 BCELL_s20947
IL21R_complex_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20949 BCELL_s20949
IL21R_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20950 BCELL_s20950
IL2RG_BCELL Cytoplasm_2,isDescribedBy,,True,,sa_BCELL_s20951 BCELL_s20951
TNFRSF1B_BCELL Cytoplasm_2,isDescribedBy,,True,,sa_BCELL_s20953 BCELL_s20953
MAP2K4_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20955 BCELL_s20955
CD40LG/CD40_complex_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20956 BCELL_s20956
CD40_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20957 BCELL_s20957
NLRC5_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20959 BCELL_s20959
BIRC2_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20963 BCELL_s20963
IFIT1_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20964 BCELL_s20964
MAP3K1_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20965 BCELL_s20965
LYN_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20966 BCELL_s20966
Ag/IgG/FCGR2A_complex_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20967 BCELL_s20967
MAP3K14_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20971 BCELL_s20971
MX1_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20972 BCELL_s20972
TLR4_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20980 BCELL_s20980
NFKB1/RELA_complex_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20987 BCELL_s20987
RELA_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20988 BCELL_s20988
NFKB1_BCELL Cytoplasm,isDescribedBy,,True,,sa_BCELL_s20989 BCELL_s20989
RIGI_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20991 BCELL_s20991
MAP2K1_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20992 BCELL_s20992
HLA-C_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20996 BCELL_s20996
MTORC1_complex_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s20997 BCELL_s20997
MLST8_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20998 BCELL_s20998
MTOR_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s20999 BCELL_s20999
RPTOR_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s21000 BCELL_s21000
TLR10_BCELL Cytoplasm_1,isDescribedBy,,True,,sa_BCELL_s21004 BCELL_s21004
TRAIL/TRAILR_complex_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s21005 BCELL_s21005
"TNFRSF10A,B_BCELL Cytoplasm",isDescribedBy,,True,,sa_BCELL_s21006 BCELL_s21006
GBP6_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s21009 BCELL_s21009
HLA-DQA2_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s21010 BCELL_s21010
TRIM5_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s21011 BCELL_s21011
JAK1_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s21012 BCELL_s21012
MAVS_BCELL Cytoplasm,isDescribedBy,,False,,sa_BCELL_s21014 BCELL_s21014
